ts_code,fund_name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,C_flg
015729.OF,朱雀碳中和三年持有,朱雀基金,宁波银行,混合型,20220907,,,20220818,,3.8242,1.2,0.2,,1.0,0.001,,中证内地低碳经济主题指数收益率*50%+恒生指数收益率*20%+中债综合全价指数收益率*20%+沪深300收益率*10%,L,混合型,契约型开放式,,20221125,20250908,O,0
016372.OF,信澳匠心严选一年持有A,信达澳亚基金,浦发银行,混合型,20220907,,,20220816,,7.5767,1.5,0.25,,1.0,0.001,,中证800指数收益率*85%+银行活期存款利率(税后)*10%+中证港股通综合指数*5%,L,混合型,契约型开放式,,20221019,,O,0
015034.OF,泰信优势领航,泰信基金,浙商银行,混合型,20220907,,,20220708,,2.3487,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中证全债指数收益率*25%,L,混合型,契约型开放式,,20221011,20221011,O,0
015887.OF,国投瑞银行业睿选A,国投瑞银基金,招商银行,混合型,20220907,,,20220815,,4.5523,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20221207,20221207,O,0
016355.OF,华夏国证疫苗与生物科技A,华夏基金,中国建设银行,股票型,20220906,,,20220808,,0.3223,0.5,0.1,,1.0,0.0001,,国证疫苗与生物科技指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220921,20220921,O,0
011849.OF,西部利得量化价值一年持有,西部利得基金,中国工商银行,混合型,20220906,,,20220725,,2.4049,1.2,0.2,,1.0,0.001,,沪深300指数收益率*80%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20220913,,O,0
015083.OF,易方达优势驱动一年持有A,易方达基金,中信银行,混合型,20220906,,,20220719,,8.659,1.0,0.15,,1.0,0.0001,,中证800指数收益率*75%+中债新综合指数(财富)收益率*25%,L,混合型,契约型开放式,,20221109,,O,0
015293.OF,金鹰时代领航一年持有A,金鹰基金,浙商银行,混合型,20220906,,,20220810,,2.0618,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证港股通综合指数收益率*15%+中证综合债指数收益率*15%,L,混合型,契约型开放式,,20220908,20230906,O,0
015567.OF,鹏华增鑫A,鹏华基金,中国工商银行,股票型,20220905,,,20220810,,2.6188,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(经汇率调整)*10%,L,股票型,契约型开放式,,20221108,20221108,O,0
016242.OF,东方红养老目标日期2045五年持有,东证资管,中国农业银行,混合型,20220905,,,20220811,,0.7607,0.8,0.15,,1.0,0.001,,沪深300指数收益率*68%+中国债券总指数收益率*20%+恒生指数收益率(经汇率估值调整)*12%,L,混合型,契约型开放式,,20221221,,O,0
016201.OF,汇添富全球汽车产业升级美元现钞,汇添富基金,中国建设银行,混合型,20220902,,,20220811,,0.0014,1.8,0.35,,1.0,0.02,,恒生沪港深智能及电动车指数收益率(使用估值汇率折算)*40%+彭博全球电动汽车指数收益率(使用估值汇率折算)*40%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20221128,20221128,O,0
016199.OF,汇添富全球汽车产业升级A,汇添富基金,中国建设银行,混合型,20220902,,,20220811,,1.9882,1.8,0.35,,1.0,0.001,,恒生沪港深智能及电动车指数收益率(使用估值汇率折算)*40%+彭博全球电动汽车指数收益率(使用估值汇率折算)*40%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20221128,20221128,O,0
015986.OF,中海新兴成长六个月持有,中海基金,中国工商银行,混合型,20220902,,,20220808,,2.6665,1.5,0.25,,1.0,0.0001,,中证新兴产业指数收益率*70%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20221201,20230301,O,0
013783.OF,兴银竞争优势A,兴银基金,兴业银行,混合型,20220902,,,20220727,,1.224,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债总指数收益率*30%,L,混合型,契约型开放式,,20221104,20221201,O,0
016200.OF,汇添富全球汽车产业升级美元现汇,汇添富基金,中国建设银行,混合型,20220902,,,20220811,,0.0088,1.8,0.35,,1.0,0.02,,恒生沪港深智能及电动车指数收益率(使用估值汇率折算)*40%+彭博全球电动汽车指数收益率(使用估值汇率折算)*40%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20221128,20221128,O,0
015219.OF,鹏扬产业智选一年持有A,鹏扬基金,中国工商银行,混合型,20220901,,,20220727,,8.1911,1.2,0.2,,1.0,0.001,,沪深300指数收益率*65%+中债综合财富(总值)指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,20221010,20230831,O,0
015343.OF,长安优势行业A,长安基金,中国工商银行,混合型,20220901,,,20220719,,1.0314,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债-综合全价(总值)指数收益率*20%,L,混合型,契约型开放式,,20221010,20221010,O,0
016122.OF,华富中证科创创业50指数增强A,华富基金,平安银行,股票型,20220831,,,20220808,,0.5217,1.0,0.1,,1.0,0.001,,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20220906,20220906,O,0
016146.OF,工银安裕积极一年持有A,工银瑞信基金,中国光大银行,混合型,20220831,,,20220815,,1.4593,1.0,0.2,,1.0,0.0001,,中证800指数收益率*70%+中债新综合(财富)指数收益率*25%+南华商品指数收益率*5%,L,混合型,契约型开放式,,20220908,20230901,O,0
016117.OF,贝莱德先进制造一年持有A,贝莱德基金,中国建设银行,混合型,20220831,,,20220808,,3.1176,1.5,0.25,,1.0,0.0001,,中证高端装备制造指数收益率*80%+一年期定期存款利率(税后)*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20230119,,O,0
013246.OF,宏利养老目标2030一年持有A,宏利基金,中国农业银行,混合型,20220831,,,20220804,,2.7654,0.6,0.15,,1.0,0.0001,,中证综合债指数收益率*77.9%+沪深300指数收益率*19.1%+中证港股通综合指数(人民币)收益率*3%,L,混合型,契约型开放式,,20221118,20230831,O,0
015570.OF,创金合信医药优选3个月持有A,创金合信基金,兴业银行,混合型,20220830,,,20220808,,2.2372,1.5,0.2,,1.0,0.0001,,中证医药卫生指数收益率*65%+人民币活期存款利率(税后)*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,20221020,20221130,O,0
015906.OF,兴业沪深300联接A,兴业基金,中信银行,股票型,20220830,,,20220815,,0.1026,0.5,0.1,,1.0,0.0001,,沪深300指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220926,20220926,O,0
016166.OF,万家颐远均衡一年持有A,万家基金,浦发银行,混合型,20220830,,,20220808,,2.5205,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221130,,O,0
016021.OF,华安优嘉精选A,华安基金,招商银行,混合型,20220830,,,20220815,,6.3473,1.2,0.2,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,20221129,20221129,O,0
015963.OF,汇安品质优选A,汇安基金,中信银行,混合型,20220830,,,20220808,,2.937,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20221130,20221130,O,0
015024.OF,鹏华兴鹏一年持有A,鹏华基金,兴业银行,混合型,20220830,,,20220712,,0.9776,0.6,0.15,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率估值调整)*5%,L,混合型,契约型开放式,,,,O,0
016197.OF,大成颐享稳健养老一年持有,大成基金,中国邮政储蓄银行,混合型,20220830,,,20220815,,0.5842,0.6,0.2,,1.0,0.0001,,中债综合指数收益率*75%+中证800指数收益率*20%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,,20221028,20230830,O,0
016370.OF,信澳业绩驱动A,信达澳亚基金,北京银行,混合型,20220825,,,20220808,,1.1355,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中证港股通综合指数收益率*40%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,20220926,20220926,O,0
016105.OF,申万菱信兴乐优选A,申万菱信基金,兴业银行,混合型,20220824,,,20220725,,4.6029,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证全债指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221123,20221123,O,0
015697.OF,华夏磐润两年定开A,华夏基金,招商银行,混合型,20220824,,,20220801,,2.6669,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+中债综合指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O,0
009819.OF,嘉实鑫福一年持有,嘉实基金,中国建设银行,混合型,20220823,,,20220801,,22.3058,0.6,0.2,,1.0,0.0001,,中债总全价指数收益率*85%+中证800指数收益率*15%,L,混合型,契约型开放式,,20230810,,O,0
015287.OF,永赢优质生活A,永赢基金,浙商银行,混合型,20220823,,,20220801,,1.8669,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债-综合指数(全价)收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221122,20221122,O,0
015813.OF,国新国证优选配置6个月持有A,国新国证基金,中国光大银行,混合型,20220823,,,20220808,,0.7206,0.6,0.15,,1.0,0.0001,,中债综合全价(总值)指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20220901,,O,0
014946.OF,南方高质量优选A,南方基金,中国农业银行,混合型,20220823,,,20220623,,9.2634,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20221121,20221121,O,0
016307.OF,景顺长城北交所精选两年定开A,景顺长城基金,中国银行,混合型,20220823,,,20220725,,1.9335,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O,0
015357.OF,摩根慧享成长A,摩根基金,招商银行,混合型,20220823,,,20220808,,2.9237,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20221123,20221123,O,0
014783.OF,招商远见成长A,招商基金,中国工商银行,混合型,20220823,,,20220622,,3.6031,1.2,0.2,,1.0,0.0001,,中证500指数收益率*60%+恒生综合指数收益率(经汇率调整后)*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20221024,20221024,O,0
016311.OF,中欧优质企业A,中欧基金,中国银行,混合型,20220823,,,20220803,,23.7326,1.2,0.2,,1.0,0.0001,,中证800指数收益率*80%+银行活期存款利率(税后)*15%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20221122,20221122,O,0
014146.OF,景顺长城港股通数字经济主题A,景顺长城基金,浦发银行,混合型,20220823,,,20220725,,0.7338,1.5,0.25,,1.0,0.0001,,恒生互联网科技业指数收益率(使用估值汇率折算)*65%+中债综合全价(总值)指数收益率*20%+中证800指数收益率*15%,L,混合型,契约型开放式,,20221111,20221111,O,0
015227.OF,华夏创新研选A,华夏基金,浙商银行,混合型,20220823,,,20220729,,0.8391,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20221028,20221028,O,0
016276.OF,招商中证800指数增强A,招商基金,交通银行,股票型,20220823,,,20220801,,0.7326,0.6,0.1,,1.0,0.0001,,中证800指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20221010,20221024,O,0
015310.OF,华泰柏瑞南方东英恒生科技联接A,华泰柏瑞基金,中国建设银行,股票型,20220823,,,20220801,,0.8477,0.2,0.1,,1.0,0.0001,,恒生科技指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220830,20220830,O,0
015902.OF,博时优质精选A,博时基金,中国银行,混合型,20220822,,,20220602,,3.3138,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20221122,20221122,O,0
016077.OF,华夏中证农业主题联接A,华夏基金,中国农业银行,股票型,20220819,,,20220804,,0.1468,0.5,0.1,,1.0,0.0001,,中证农业主题指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220826,20220826,O,0
015878.OF,富国中证农业主题联接A,富国基金,中国农业银行,股票型,20220819,,,20220804,,5.525,0.5,0.1,,1.0,0.001,,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220901,20220901,O,0
850007.OF,海通智选一年持有B,海通资管,中国工商银行,股票型,20220819,,,20220819,,,0.7,0.15,,1.0,,,中证1000指数收益率*80%+商业银行活期存款利率(税后)*20%,L,股票型,契约型开放式,,,20220901,O,0
015794.OF,天弘创业板指数增强A,天弘基金,中国民生银行,股票型,20220818,,,20220727,,0.8664,0.6,0.1,,1.0,0.0001,,创业板指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20220905,20220905,O,0
015092.OF,汇安远见成长A,汇安基金,招商银行,混合型,20220818,,,20220719,,2.2269,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*20%+恒生指数收益率*20%,L,混合型,契约型开放式,,20221118,20221118,O,0
015094.OF,华商300智选A,华商基金,华夏银行,混合型,20220818,,,20220713,,3.6885,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*75%+中债-综合全价(总值)指数收益率*20%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20221019,20221019,O,0
015035.OF,银华核心动力精选A,银华基金,平安银行,混合型,20220818,,,20220704,,2.6412,1.2,0.2,,1.0,0.001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数(全价)收益率*20%,L,混合型,契约型开放式,,20221117,20221117,O,0
016466.OF,国泰君安量化选股A,国泰君安资管,中国邮政储蓄银行,混合型,20220818,,,20220817,,0.1001,1.0,0.15,,1.0,0.0001,,中证全指指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20220822,20220822,O,0
015891.OF,富国上证50基本面精选A,富国基金,招商银行,股票型,20220817,,,20220725,,4.6215,1.2,0.2,,1.0,0.001,,上证50全收益指数收益率*80%+恒生指数收益率(使用汇率估值折算)*10%+中债综合全价指数收益率*10%,L,股票型,契约型开放式,,20221017,20221017,O,0
015381.OF,东方兴瑞趋势领航A,东方基金,兴业银行,混合型,20220816,,,20220801,,0.5775,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中债综合全价指数收益率*30%+恒生指数收益率(使用估值汇率调整)*10%,L,混合型,契约型开放式,,20221010,20221010,O,0
015867.OF,国泰君安中证1000指数增强A,国泰君安资管,中国农业银行,股票型,20220816,,,20220801,,3.3211,1.0,0.15,,1.0,0.001,,中证1000指数收益率*95%+同期银行活期存款利率(税后)*5,L,增强指数型,契约型开放式,,20221116,20221116,O,0
016303.OF,中信建投北交所精选两年定开A,中信建投基金,中国银行,混合型,20220816,,,20220725,,2.2051,1.5,0.25,,1.0,0.001,,中证1000指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O,0
015087.OF,易方达优势先锋一年持有A,易方达基金,中国建设银行,混合型,20220816,,,20220718,,2.0918,1.0,0.15,,1.0,0.0001,,中证800指数收益率*75%+中债新综合指数(财富)收益率*25%,L,混合型,契约型开放式,,20221019,,O,0
015026.OF,鹏华增华A,鹏华基金,中国银行,混合型,20220816,,,20220623,,1.8645,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(经汇率调整)*10%,L,混合型,契约型开放式,,20221107,20221107,O,0
016113.OF,华宝高端装备A,华宝基金,交通银行,股票型,20220816,,,20220801,,0.1705,1.0,0.1,,1.0,0.0001,,中证高端装备细分50指数收益率*80%+中证港股通综合指数收益率(经汇率调整)*10%+人民币活期存款利率(税后)*10%,L,股票型,契约型开放式,,20220915,20220915,O,0
015993.OF,博时中证光伏产业A,博时基金,浦发银行,股票型,20220816,,,20220711,,0.5046,0.5,0.1,,1.0,0.0001,,中证光伏产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220822,20220822,O,0
015246.OF,国投瑞银兴源6个月定开A,国投瑞银基金,渤海银行,混合型,20220812,,,20220728,,1.9304,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*70%+中证800指数收益率*25%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20230213,20230213,O,0
014803.OF,汇安添利18个月持有A,汇安基金,中国光大银行,混合型,20220810,,,20220627,,1.2106,1.0,0.2,,1.0,0.0001,,中债综合财富指数收益率*85%+沪深300指数收益率*12.5%+恒生指数收益率*2.5%,L,混合型,契约型开放式,,20221117,,O,0
015732.OF,尚正新能源产业A,尚正基金,浙商银行,混合型,20220810,,,20220718,,0.3843,1.5,0.25,,1.0,0.0001,,中证新能源指数收益率*60%+中证全债指数收益率*30%+中证港股通能源综合指数收益率(人民币)*10%,L,混合型,契约型开放式,,20220908,20220908,O,0
015610.OF,万家匠心致远一年持有A,万家基金,中国工商银行,混合型,20220809,,,20220725,,6.6801,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221108,20230809,O,0
016382.OF,国泰君安价值精选A,国泰君安资管,中信银行,混合型,20220809,,,20220808,,0.1001,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债总指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20221101,20221101,O,0
016155.OF,鹏扬消费行业A,鹏扬基金,中信建投证券,混合型,20220809,,,20220725,,0.4035,1.2,0.2,,1.0,0.001,,中证内地消费主题指数收益率*65%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*15%,L,混合型,契约型开放式,,20220909,20220909,O,0
014761.OF,金鹰民稳A,金鹰基金,中国民生银行,混合型,20220809,,,20220620,,0.1807,0.7,0.1,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20220815,20220815,O,0
014593.OF,西部利得聚优一年持有,西部利得基金,交通银行,混合型,20220809,,,20220602,,2.3495,0.8,0.15,,1.0,0.001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20221020,20230809,O,0
014944.OF,蜂巢润和六个月持有A,蜂巢基金,浙商银行,混合型,20220809,,,20220704,,0.7156,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*17%+恒生指数收益率*3%,L,混合型,契约型开放式,,20220908,20230209,O,0
016309.OF,银华玉衡定投三个月持有A,银华基金,招商银行,混合型,20220808,,,20220801,,0.1,1.0,0.2,,1.0,,,中证800指数收益率*60%+中证国债指数收益率*40%,L,混合型,契约型开放式,,,20221108,O,0
